ICAO.Code,IATA.Code,Airport.Name,City,Country,Latitude,Longitude
DBBO,N/A,N/A,PORGA,BENIN,0,0
DBBP,PKO,PARAKOU,PARAKOU,BENIN,9.357,2.609
DBBR,N/A,N/A,BEMBEREKE,BENIN,0,0
DBBS,N/A,N/A,SAVE,BENIN,0,0
DFCA,N/A,N/A,KAYA,BURKINA FASO,0,0
DFCB,N/A,N/A,BARSALOGHO,BURKINA FASO,0,0
DFCC,OUG,N/A,OUAHIGOUYA,BURKINA FASO,0,0
DFCD,N/A,N/A,DIDYR,BURKINA FASO,0,0
DFCE,N/A,N/A,BATIE,BURKINA FASO,0,0
DFCG,N/A,N/A,KONGOUSSI,BURKINA FASO,0,0
DFCI,N/A,N/A,TITAO,BURKINA FASO,0,0
DFCJ,N/A,N/A,DJIBO,BURKINA FASO,0,0
DFCK,N/A,N/A,KOUDOUGOU,BURKINA FASO,0,0
DFCL,N/A,N/A,LEO,BURKINA FASO,0,0
DFCM,N/A,N/A,MANGA,BURKINA FASO,0,0
DFCO,N/A,N/A,BOROMO,BURKINA FASO,0,0
DFCP,N/A,N/A,PO,BURKINA FASO,0,0
DFCR,N/A,N/A,POURA,BURKINA FASO,0,0
DFCS,N/A,N/A,SEGUENEGA,BURKINA FASO,0,0
DFCT,N/A,N/A,TENADO,BURKINA FASO,0,0
DFCU,N/A,N/A,GOURCY,BURKINA FASO,0,0
DFCY,N/A,N/A,YAKO,BURKINA FASO,0,0
DFEA,N/A,N/A,BOULSA,BURKINA FASO,0,0
DFEB,N/A,N/A,BOGANDE,BURKINA FASO,0,0
DFEC,N/A,N/A,KOMIN-YANGA,BURKINA FASO,0,0
DFED,N/A,N/A,DIAPAGA,BURKINA FASO,0,0
DFEE,DOR,N/A,DORI,BURKINA FASO,0,0
DFEF,FNG,N/A,FADA N'GOURMA,BURKINA FASO,0,0
DFEG,XGG,N/A,GOROM GOROM,BURKINA FASO,0,0
DFEK,N/A,N/A,KOUPELA,BURKINA FASO,0,0
